Token,Lema,POS,Freq,Declinação,Definição
ivli,ivles,NOUN,1,-,Def. não encontrada
bell,bell,NOUN,1,-,Def. não encontrada
o,o,VERB,1,-,"The fourteenth letter of the Latin alphabet, corresponding to the Gr. ο and ω. The Latin language possessed both the sound and the sign from the earliest times; whereas the Etruscan language never possessed the o, and the Umbrian seems not to have received it as an alphabetical character till a later period. The oldest monuments of the Latin tongue frequently employ o where the classic language has u. So on the Column. Rostr. MACESTRATOS (acc. plur.), EXFOCIONT, CONSOL, PRIMOS (nom. sing.), CAPTOM; in the epitaphs of the Scipios, HONC OINO, COSENTIONT, DVONORO OPTVMO VIRO (bonorum optumum virum); in the S. C. de Bacch. IN OQVOLTOD al. And even in the later inscrr. and MSS., we sometimes find o for u: POPLICO, POPOLVM, TABOLEIS, in the Tab. Bantina: FACIONDAM DEDERONT,Inscr. Orell. : MONDO, HOC TOMOLO,ib. : fondus, fornacatibus, solitodo, etc., in good MSS. (v. Freund, Cic. Mil. p. ). And, on the contrary, u for o in the old forms, fruns, funtes, for frons, fontes, v. h. vv.: RVBVSTIS for robustis, in the Cenot. Pisan.; v. Inscr. Orell. : NVMENCLATOR,Inscr. Grut. , : CONSVBRINVS,ib. , : SACERDVS,ib. , : VNV LOCV,ib. , . O appears in class. Lat. particularly in connection with qu and v: quom, avos. This interchange of o and u seems to have been effected rather by dialectical and local than by organic and historical causes; just as in the modern Italian dialects a preference is shown on the one hand for o and on the other for u, and in one and the same dialect the Latin o has passed over into u and the u into o. —On the commutation of o and e, see the letter E.—We have o for au in Clodius, plodo, plostrum, sodes, etc. (also in polulum for paululum, Cato, R. R. , ).— O inserted in the archaic forms: Patricoles, Hercoles, v. Ritschl ap. Rhein. Mus. , p.  sq., and , p. . As an abbreviation, O. stands for omnis and optimus: I. O. M., Jovi Optimo Maximo: O. E. B. Q. C., ossa ejus bene quiescant condita,Inscr. Orell. ; cf.: O. I. B. Q., ossa illius bene quiescant,ib. ; : O. N. F., omnium nomine faciundae,ib. : O. T. B. Q., ossa tua bene quiescant: O. V., optimo viro,ib. ; also: optimi viri,ib. ."
primvs,primvs,NOUN,1,-,Def. não encontrada
aquitani,aquita,PROPN,1,-,Def. não encontrada
celtae,celta,NOUN,1,-,Def. não encontrada
matrona,matronus,ADJ,1,-,Def. não encontrada
minimeque,minimeque,ADV,1,-,Def. não encontrada
proximique,proximiquus,ADJ,1,-,Def. não encontrada
praecedunt,praecedo,VERB,1,-,"To go before, precede (seems not to occur in Cic., Nep., Tac., or Sall.; once in Caes.; syn.: antecedo, anteverto)."
pyrenaeos,pyrenaeus,ADJ,1,-,"Pȳrēnaeus, a, um, and Pȳrēnāĭ-cus, a, um, v. Pyrene."
ditissimus,ditis,ADJ,1,-,Def. não encontrada
consulibus,consulis,ADJ,1,-,Def. não encontrada
praestarent,praestaro,VERB,1,-,Def. não encontrada
helvetium,helvetius,ADJ,1,-,Def. não encontrada
