Token,Lema,POS,Freq,Declinação,Definição
qui,qui,PRON,1366,-,"Interrog., who? which? what? what kind or sort of a? (adjectively; while quis, quid is used substantively; qui, of persons, asks for the character, quis usu. for the name)."
in,in,ADP,1247,-,"In, within, on, upon, among, at; into, to, towards."
eo,is,PRON,1104,-,"He, she, it; this or that man, woman, thing."
esse,sum,AUX,1101,-,"As a verb substantive, to be."
et,et,CCONJ,988,-,"Conj. [Sanscr. ati, beyond; Gr. ἔτι, besides, yet; Lat. et-iam, at-avus], serves to connect, in the most general manner, single words or entire sentences, and."
ad,ad,ADP,793,-,"As antith. to ab (as in to ex), in a progressive order of relation, ad denotes, first, the direction toward an object; then the reaching of or attaining to it; and finally, the being at or near it."
se,sui,PRON,710,-,"Prop., as pron. reflex., of an object considered as receiving or affected by its own act, himself, herself, itself, themselves."
atque,atque,CCONJ,677,-,"In joining single words, which is its most common use."
his,hic,DET,636,-,"Hoc with verbs impers., pleonast. as a subject (ante-class.): eamus, Amphitruo: lucescit hoc jam,there is daybreak,Plaut. Am. , , : luciscit hoc jam,   Ter. Heaut. , , : lucet hoc,Plaut. Mil. , , ; cf. id. Curc. , , ."
ab,ab,ADP,591,-,"In space, and"
omnibus,omnis,DET,574,-,"omnĭs, e (omnia is freq. a dissyl. in the poets, as Verg. G. , ; id. A. , ; Lucr. ,  Lachm.), adj. etym. dub.; perh. akin to ambo and Gr. ἀμφί (syn.: cunctus, universus)"
ex,ex,ADP,512,-,In space.
rebus,res,NOUN,447,-,In partic.
ut,ut,SCONJ,418,-,"Conj. [for quoti or cuti, from pronom. stem ka-, Lat. quo-, whence qui, etc., and locat. ending -ti of stem to-, whence tum, etc.]."
quod,quod,SCONJ,413,-,"Conj. [acc. resp., from qui]."
suis,suus,DET,379,-,"Ordinary possessive use his, etc. (cf. the similar use of the pers. pron. sui, q. v.)."
non,non,PART,370,-,"nōn (old collat. forms noenum and noenu, cf. Lachm. ad Lucr. tom. , p.  sq.:"
posse,possum,VERB,363,-,In partic.
cum,cum,ADP,338,-,"With, together, together with, in connection or company with, along with; sometimes also to be translated and."
loco,locus,NOUN,331,-,"V.infra), a place, spot."
magna,magnus,ADJ,331,-,"Gen. magnai for magnae: magnai reipublicai gratia,Plaut. Mil. , , ), adj.; comp. mājor, us; sup. maxĭmus (maxŭm-), a, um root magh-; Sanscr. mahat, mabā, great; Gr. μέγας; cf. μείζων for μεγιων; cf. μῆχος, majestas; also cf. root mak-; Gr. μακρός, and perh. μάκαρ, great, large."
cum,cum,SCONJ,308,-,"With, together, together with, in connection or company with, along with; sometimes also to be translated and."
facere,facio,VERB,308,-,In gen.
