Token,Lema,POS,Freq
castris,castr,NOUN,139
hostes,hoss,NOUN,113
romani,romanus,ADJ,98
equitatu,equitas,NOUN,92
caesarem,caesaris,PROPN,91
oppidum,oppidus,NOUN,86
equitum,equitus,NOUN,71
milia,milius,NOUN,70
iam,iam,ADV,68
iubet,iubeo,VERB,66
videretur,vido,VERB,63
coeperunt,coepi,VERB,62
copias,copus,NOUN,61
copiis,copius,NOUN,60
romanos,romanus,NOUN,52
minus,parue,ADV,49
obsides,obsis,NOUN,45
germani,germanis,ADJ,44
aeduorum,aeduus,NOUN,40
itinere,itinum,NOUN,38
gallorum,gallum,NOUN,36
hibernis,hibero,NOUN,35
milibus,milis,ADJ,35
iniuria,iniurius,ADJ,31
romanorum,romanum,NOUN,31
iussit,iusso,VERB,30
hostem,hostim,NOUN,30
frumentaria,frumentaris,ADJ,29
reliquis,reliquis,ADJ,28
haeduorum,haeduus,ADJ,28
resistere,resisto,VERB,28
labienum,labien,NOUN,28
venit,vigo,VERB,28
iudicaret,iudico,VERB,28
coniungit,coniungo,VERB,27
itineribus,itieer,NOUN,26
agris,agr,NOUN,25
consuerunt,consuero,VERB,25
iure,ius,NOUN,24
vellet,velleo,VERB,24
obsidibus,obsidus,NOUN,24
treverorum,treverus,NOUN,23
aedui,aeduus,ADJ,23
italiam,italis,ADJ,23
helvetii,helvetium,NOUN,23
milium,milius,ADJ,22
cohortibus,cohortus,NOUN,22
silvas,silvas,NOUN,21
minora,paruus,ADJ,21
complures,compler,ADJ,21
vulneribus,vulnis,NOUN,21
turres,turra,NOUN,21
silvis,silvum,NOUN,21
victis,vico,VERB,20
bellovacos,bellovacus,ADJ,19
cohortes,cohor,NOUN,19
perterritos,perterro,VERB,19
hortatur,horto,VERB,19
navium,navius,NOUN,19
cognoverant,cognoho,VERB,18
sequanos,sequanus,NOUN,18
diutius,diute,ADV,18
oppida,oppida,NOUN,18
adulescentem,adulesco,VERB,18
venisset,venibso,VERB,18
eburones,eburo,NOUN,17
pollicentur,polliceo,VERB,17
oceano,oceanum,NOUN,17
haeduis,haeduus,NOUN,16
